Index,Confidence,X/Y/W/H,Frame Count
b'car',0.9768033027648926,"(170.37171936035156, 225.0397186279297, 6.748981952667236, 9.355378150939941)",5
b'car',0.9512961506843567,"(216.83319091796875, 329.7297058105469, 414.6822509765625, 162.58592224121094)",5
b'car',0.8742588758468628,"(189.23512268066406, 222.5089111328125, 6.205475330352783, 5.532768249511719)",5
b'car',0.8588400483131409,"(181.73475646972656, 222.08616638183594, 4.127233505249023, 4.6313347816467285)",5
b'car',0.7833869457244873,"(206.80377197265625, 233.99771118164062, 25.552555084228516, 36.93164825439453)",5
b'car',0.9362708926200867,"(171.74908447265625, 224.79547119140625, 7.188711166381836, 8.317922592163086)",10
b'car',0.9340678453445435,"(215.19888305664062, 331.5931091308594, 412.2569274902344, 153.86146545410156)",10
b'car',0.8345481753349304,"(188.53614807128906, 222.15341186523438, 5.5559234619140625, 4.980526447296143)",10
b'car',0.8230459690093994,"(182.08596801757812, 221.6205291748047, 3.8103764057159424, 4.036489486694336)",10
b'car',0.755236804485321,"(206.67898559570312, 231.72915649414062, 26.482955932617188, 41.62249755859375)",10
b'car',0.707135796546936,"(35.525691986083984, 214.95916748046875, 12.939023971557617, 7.460380554199219)",10
b'car',0.9630231857299805,"(214.37327575683594, 333.4495849609375, 412.960205078125, 151.23289489746094)",15
b'car',0.9229676723480225,"(172.62777709960938, 225.22711181640625, 6.359210014343262, 7.009096622467041)",15
b'car',0.8752979636192322,"(206.12918090820312, 234.25294494628906, 26.04668426513672, 31.865814208984375)",15
b'car',0.799439549446106,"(188.47987365722656, 222.39913940429688, 5.459301471710205, 5.624814033508301)",15
b'car',0.9714213013648987,"(215.7123260498047, 334.1915283203125, 412.2155456542969, 148.91128540039062)",20
b'car',0.9103888273239136,"(25.193702697753906, 249.11305236816406, 53.69105529785156, 56.419246673583984)",20
b'car',0.9080451726913452,"(205.9327850341797, 235.32400512695312, 27.068262100219727, 33.50973129272461)",20
b'car',0.7971190214157104,"(188.61087036132812, 222.56028747558594, 5.42127799987793, 5.949567794799805)",20
b'car',0.7405962944030762,"(173.87127685546875, 224.970703125, 6.170673370361328, 6.399076461791992)",20
b'car',0.7405476570129395,"(18.64487075805664, 214.6630096435547, 15.550237655639648, 9.650410652160645)",20
b'car',0.9915631413459778,"(50.39679718017578, 244.52516174316406, 51.038875579833984, 40.41315841674805)",25
b'car',0.963091254234314,"(216.3850860595703, 332.6894226074219, 408.8631896972656, 155.5098114013672)",25
b'car',0.8641672730445862,"(205.9736328125, 235.4525909423828, 28.382240295410156, 33.88579177856445)",25
b'car',0.8148494958877563,"(188.376708984375, 222.76707458496094, 5.3795037269592285, 5.466753005981445)",25
b'car',0.9677154421806335,"(216.27731323242188, 331.9906005859375, 414.34796142578125, 153.2102813720703)",30
b'car',0.9594048857688904,"(76.26223754882812, 241.68836975097656, 43.10435485839844, 32.526893615722656)",30
b'car',0.8100742101669312,"(206.99203491210938, 236.45797729492188, 31.289222717285156, 40.02834701538086)",30
