Index,Confidence,X/Y/W/H,Frame Count
b'car',0.958046019077301,"(381.4176025390625, 195.03948974609375, 59.16680908203125, 66.242431640625)",5
b'car',0.7326680421829224,"(206.83619689941406, 200.77194213867188, 21.1169376373291, 27.150617599487305)",5
b'truck',0.7197452187538147,"(207.0758514404297, 198.7065887451172, 23.871139526367188, 30.826852798461914)",5
b'car',0.9510371088981628,"(207.1094512939453, 201.90652465820312, 23.52207374572754, 30.986709594726562)",10
b'car',0.9431984424591064,"(356.74127197265625, 197.22430419921875, 60.172401428222656, 55.22309875488281)",10
b'car',0.9156724214553833,"(227.5972442626953, 194.7377471923828, 7.733132362365723, 10.955528259277344)",10
b'car',0.9469630718231201,"(342.0780029296875, 195.99855041503906, 50.196529388427734, 47.80718231201172)",15
b'car',0.9092651605606079,"(206.82176208496094, 203.34707641601562, 23.21665382385254, 31.570837020874023)",15
b'car',0.8963177800178528,"(227.52821350097656, 196.20008850097656, 8.142972946166992, 11.023002624511719)",15
b'car',0.8904600143432617,"(206.2845458984375, 201.0508575439453, 22.047643661499023, 28.507518768310547)",20
b'car',0.8067693114280701,"(227.02052307128906, 193.77484130859375, 7.852567672729492, 10.96549129486084)",20
b'truck',0.717629611492157,"(206.56610107421875, 199.36122131347656, 22.132051467895508, 31.371055603027344)",20
b'car',0.8758524656295776,"(312.6167297363281, 187.8158416748047, 34.63541793823242, 44.40187072753906)",25
b'car',0.8565177917480469,"(205.82183837890625, 200.73326110839844, 21.268585205078125, 27.99767303466797)",25
b'car',0.9419581890106201,"(205.8598175048828, 201.08929443359375, 22.11577606201172, 27.74071502685547)",30
b'car',0.9110205769538879,"(301.4788818359375, 187.83963012695312, 34.86474609375, 33.506500244140625)",30
b'car',0.8115035891532898,"(227.74838256835938, 190.7028350830078, 8.816535949707031, 10.949532508850098)",30
b'traffic light',0.7592079043388367,"(265.7158203125, 100.63275146484375, 11.950348854064941, 57.42534255981445)",30
b'car',0.9138525128364563,"(293.9508056640625, 186.75674438476562, 30.3630313873291, 30.77021026611328)",35
b'car',0.8673440217971802,"(227.8662109375, 189.32118225097656, 8.646108627319336, 10.85350227355957)",35
b'car',0.788630485534668,"(205.59664916992188, 200.81427001953125, 20.629150390625, 26.345836639404297)",35
b'car',0.9410841464996338,"(205.77993774414062, 201.01560974121094, 22.03144073486328, 28.18254852294922)",40
